Authors,Author full names,Author(s) ID,Language,AI,Title,Abstract,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Index Keywords,References,Publisher,ISSN,ISBN,CODEN,PubMed ID,Document Type,Source,EID
Lars Banko|Olga A. Krysiak|Jack K. Pedersen|Bin Xiao|Alan Savan|Tobias LÃ¶ffler|Sabrina Baha|Jan Rossmeisl|Wolfgang Schuhmann|Alfred Ludwig,,,,FALSE,Unravelling Composition “Activity“ Stability Trends in High Entropy Alloy Electrocatalysts by Using a DataGuided Combinatorial Synthesis Strategy and Computational Modeling,"High entropy alloys (HEA) comprise a huge search space for new electrocatalysts. Next to element combinations, the optimization of the chemical composition is essential for tuning HEA to specific catalytic processes. Simulations of electrocatalytic activity can guide experimental efforts. Yet, the currently available underlying model assumptions do not necessarily align with experimental evidence. To study deviations of theoretical models and experimental data requires statistically relevant datasets. Here, a combinatorial strategy for acquiring large experimental datasets of multidimensional composition spaces is presented. Ru Rh Pd Ir Pt is studied as an exemplary, highly relevant HEA system. Systematic comparison with computed electrochemical activity enables the study of deviations from theoretical model assumptions for compositionally complex solid solutions in the experiment. The results suggest that the experimentally obtained distribution of surface atoms deviates from the ideal distribution of atoms in the model. Leveraging both advanced simulation and large experimental data enables the estimation of electrocatalytic activity and solidsolution stability trends in the 5D composition space of the HEA system. A perspective on future directions for the development of active and stable HEA catalysts is outlined.",2022,Advanced Energy Materials,,,,,,98,https://doi.org/10.1002/aenm.202103312,,Ruhr University Bochum|Ruhr University Bochum|University of Copenhagen|Ruhr University Bochum|Ruhr University Bochum|Ruhr University Bochum|Ruhr University Bochum|University of Copenhagen|Ruhr University Bochum|Ruhr University Bochum,,,,,1614-6832,,,,article,,
Parvathy Anitha Sukkurji|Yanyan Cui|Seunghwa Lee|Kai Wang|Raheleh Azmi|Abhishek Sarkar|Sylvio Indris|Subramshu S. Bhattacharya|Robert Kruk|Horst Hahn|Qingsong Wang|Miriam Botros|Ben Breitung,,,,FALSE,Mechanochemical synthesis of novel rutile-type high entropy fluorides for electrocatalysis,"Novel high entropy ceramics, high entropy fluorides, are introduced. The microstructure and solid solution state of the material are thoroughly characterized. Additionally, promising catalytic activity for oxygen evolution reaction was observed.",2021,Journal of Materials Chemistry A,,,,,,97,https://doi.org/10.1039/d0ta10209a,,Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne|Karlsruhe Institute of Technology|Institute of Nanotechnology|Energy Storage Systems (United States)|Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Energy Storage Systems (United States)|Karlsruhe Institute of Technology|Technology Centre Prague|Indian Institute of Technology Madras|Institute of Nanotechnology|Karlsruhe Institute of Technology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Karlsruhe Institute of Technology|Institute of Nanotechnology,,,,,2050-7488,,,,article,,
Peiyong Chen|Chanho Lee|Shao-Yu Wang|Mohsen Seifi|John J. Lewandowski|Karin A. Dahmen|Haoling Jia|Xie Xie|BiLin Chen|Jien-Wei Yeh|Cheâ€Wei Tsai|Tao Yuan|Peter K. Liaw,,,,FALSE,Fatigue behavior of high-entropy alloys: A review,"Fatigue failures cost approximately 4% of the United States’ gross domestic product (GDP). The design of highly fatigue-resistant materials is always in demand. Different from conventional strategies of alloy design, high-entropy alloys (HEAs) are defined as materials with five or more principal elements, which could be solid solutions. This locally-disordered structure is expected to lead to unique fatigue-resistant properties. In this review, the studies of the fatigue behavior of HEAs during the last five years are summarized. The four-point-bending high-cycle fatigue coupled with statistical modelling, and the fatigue-crack-growth behavior of HEAs, are reviewed. The effects of sample defects and nanotwins-deformation mechanisms on four-point-bending high-cycle fatigue of HEAs are discussed in detail. The influence of stress ratio and temperature on fatigue-crack-growth characteristics of HEAs is also discussed. HEAs could exhibit comparable or greater fatigue properties, relative to conventional materials. Finally, the possible future work regarding the fatigue behavior of HEAs is suggested.",2017,Science China Technological Sciences,,,,,,96,https://doi.org/10.1007/s11431-017-9137-4,,University of Tennessee at Knoxville|University of Tennessee at Knoxville|University of Tennessee at Knoxville|Western University of Health Sciences|Case Western Reserve University|Case Western Reserve University|Western University of Health Sciences|University of Illinois Urbana-Champaign|University of Tennessee at Knoxville|University of Tennessee at Knoxville|University of Tennessee at Knoxville|National Tsing Hua University|National Tsing Hua University|Ohio University|University of Tennessee at Knoxville,,,,,1674-7321,,,,review,,
Xiaochong LÃ¼|Jianfeng Zhao|Chao Yu|Zhiming Li|Qianhua Kan|Guozheng Kang|Xu Zhang,,,,FALSE,"Cyclic plasticity of an interstitial high-entropy alloy: experiments, crystal plasticity modeling, and simulations","The development of high-entropy alloys (HEAs) comprising multiple principal components is an innovative design strategy for metallic materials from the perspective of thermodynamic entropy. However, despite their potential candidacy for engineering applications, the lack of research on the cyclic loading responses as well as constitutive modeling of the HEAs is a major constraint. Therefore, the present work focuses on the cyclic plasticity of a typical carbon-doped interstitial HEA (iHEA) with nominal composition Fe49.5Mn30Co10Cr10C0.5 (at.%). The results of stress-controlled cyclic tests with nonzero mean stress showed that the iHEA exhibits significant cyclic hardening and stress level–dependent ratcheting. Owing to its improved cyclic hardening, the saturated ratcheting strain rate of the iHEA is lower than that of conventional steels such as the 316L stainless steel. Furthermore, microscopic characterizations revealed that the cyclic deformations caused massive martensitic phase transformation and hierarchical structures in the iHEA. The experimental results were used to develop a physical mechanism-based crystal plasticity constitutive model that is capable of describing the cyclic plasticity of the iHEA, which was implemented into a finite element framework. The simulation results showed that the loading stress significantly affected the microstructural evolutions, leading to a stress level–dependent cyclic plasticity. Thus, this investigation provides a fundamental basis for fatigue tests and service life prediction/optimization of the iHEA in the future, which can promote its engineering applications.",2020,Journal of the Mechanics and Physics of Solids,,,,,,92,https://doi.org/10.1016/j.jmps.2020.103971,,Southwest Jiaotong University|Southwest Jiaotong University|Southwest Jiaotong University|Central South University|Max-Planck-Institut fÃ¼r Nachhaltige Materialien|Southwest Jiaotong University|Southwest Jiaotong University|Southwest Jiaotong University,,,,,0022-5096,,,,article,,
Yonggang Yan|Dan LÃ¼|Kun Wang,,,AI,TRUE,Accelerated discovery of single-phase refractory high entropy alloys assisted by machine learning,"Herein, we proposed a strategy to design single-phase refractory high entropy alloys (RHEAs) with the assistance of machine learning algorithms. Based on an extensive dataset (1807 entries) built in this work, we applied multiple machine learning algorithms to train the dataset. After the blind test, we found that the Gradient boosting (GB) model can distinguish the single-phase-solid solution and non-single-phase-solid solution alloys with a test accuracy of 96.41%. Given the GB model, we predicted over 100 equiatomic oxidation-resistance RHEAs from the composition space of eight metallic elements. After that, we synthesized ten of these predicted single-phase RHEAs by mechanical alloying. The XRD patterns show that all of them are single-phase BCC solid solution. The experimental results agree well with the prediction results, indicating the excellent performance of the machine learning model in single-phase RHEAs prediction. With the aid of the machine learning method, single-phase oxidation-resistant RHEAs were successfully designed. Our work presents a novel strategy with outstanding performance and evident effectiveness on the accelerated discovery of novel metallic materials used for extreme environments.",2021,Computational Materials Science,,,,,,92,https://doi.org/10.1016/j.commatsci.2021.110723,,Alfred University|Alfred University|Alfred University,,,,,0927-0256,,,,article,,
Yusheng Tian|Wenzhe Zhou|Qingbiao Tan|Mingxu Wu|Shen QIAO|Guoliang Zhu|An-ping DONG|Da Shu|Baode Sun,,,,FALSE,A review of refractory high-entropy alloys,"This work reviews recent progress in the alloy design, microstructure, and mechanical properties of refractory high-entropy alloys (RHEAs). What's more, the underlying strengthening mechanisms and deformation behavior are discussed. Composed mainly of near-equimolar refractory elements, RHEAs have superior mechanical properties, especially at high temperatures. However, many of them have limited room-temperature ductility. Much work has been done to solve this trade-off, and some of the RHEAs have the potential to be used for high-temperature applications in the future. In addition to their mechanical properties, RHEAs have other attractive properties, such as biocompatibility and wear resistance, which are discussed. Finally, current problems and future suggestions for RHEAs are discussed.",2022,Transactions of Nonferrous Metals Society of China,,,,,,91,https://doi.org/10.1016/s1003-6326(22)66035-7,,Shanghai Jiao Tong University|Shanghai Jiao Tong University|Shanghai Jiao Tong University|Shanghai Jiao Tong University|Shanghai Jiao Tong University|Shanghai Jiao Tong University|Shanghai Jiao Tong University|Shanghai Jiao Tong University|Shanghai Jiao Tong University,,,,,1003-6326,,,,review,,
K. Liu|S.S. Nene|M. Frank|Subhasis Sinha|Rajiv S. Mishra,,,,FALSE,Extremely high fatigue resistance in an ultrafine grained high entropy alloy,"Fatigue of structural materials is a leading cause of failure and has motivated fatigue-resistant design to eliminate risks to human lives. Majority of conventional materials, including advanced steels and Ni-based superalloys, exhibit limited fatigue endurance limits at ambient temperature. With this in mind, we designed a Cu-containing FeMnCoCrSi high entropy alloy which exhibits a normalized fatigue ratio of ∼0.62 UTS (ultimate tensile strength). Our design approach was based on (a) engineering the γ phase stability to attain sustained work hardening (WH) through delayed γ (f.c.c.) → ɛ (h.c.p.) transformation to hinder fatigue crack propagation and (b) an ultrafine grained (UFG) microstructure to delay crack initiation. We verified that a UFG γ dominant microstructure could provide opportunities for enhanced fatigue resistance, as sustained WH activity strengthened the material locally in the crack plastic zone, thereby validating our expectation that the combination of UFG and transformation induced plasticity (TRIP) is a path to design the next generation of fatigue-resistant alloys.",2019,Applied Materials Today,,,,,,90,https://doi.org/10.1016/j.apmt.2019.04.001,,University of North Texas|University of North Texas|University of North Texas|University of North Texas|University of North Texas,,,,,2352-9407,,,,article,,
Tan Shi|Penghui Lei|Xu Yan|Jing Li|Yundi Zhou|Yunpeng Wang|Zhengxiong Su|Yankun Dou|Xinfu He|Di Yun|Wen Yang|Chenyang Lu,,,,FALSE,Current development of body-centered cubic high-entropy alloys for nuclear applications,"High-entropy alloys greatly expand the alloy design range and offer new possibilities for improving material performance. Based on the worldwide research efforts in the last decade, the excellent mechanical properties and promising radiation and corrosion resistance of this group of materials have been demonstrated. High-entropy alloys with body-centered cubic (BCC) structures, especially refractory high-entropy alloys, are considered as promising materials for high-temperature applications in advanced nuclear reactors. However, the extreme reactor conditions including high temperature, high radiation damage, high stress, and complex corrosive environment require a comprehensive evaluation of the material properties for their actual service in nuclear reactors. This review summarizes the current progress on BCC high-entropy alloys from the aspects of neutron economy and activation, mechanical properties, high-temperature stability, radiation resistance, as well as corrosion resistance. Although the current development of BCC high-entropy alloys for nuclear applications is still at an early stage as the large design space of this group of alloys has not been fully explored, the current research findings provide a good basis for the understanding and prediction of material behaviors with different compositions and microstructures. Further in-depth understanding of the degradation mechanisms and characterization of material properties in response to conditions close to reactor environment are necessary. A critical down-selection of potential candidates is also crucial for further comprehensive evaluation and engineering validation.",2021,Tungsten,,,,,,87,https://doi.org/10.1007/s42864-021-00086-6,,Xi'an Jiaotong University|Xi'an Jiaotong University|Xi'an Jiaotong University|Xi'an Jiaotong University|Xi'an Jiaotong University|Xi'an Jiaotong University|Xi'an Jiaotong University|China Institute of Atomic Energy|China Institute of Atomic Energy|Xi'an Jiaotong University|China Institute of Atomic Energy|Xi'an Jiaotong University,,,,,2661-8028,,,,article,,
N.B. Zhang|Jingyu Xu|Z.D. Feng|Yuzhou Sun|J.Y. Huang|Xiaojun Zhao|Xiaohu Yao|Sen Chen|Lei Lu|Shengâ€Nian Luo,,,,FALSE,Shock compression and spallation damage of high-entropy alloy Al0.1CoCrFeNi,"Shock compression and spallation damage of a face-center cubic phase high-entropy alloy (HEA) Al0.1CoCrFeNi were investigated via plate impact experiments along with free surface velocity measurements. Postmortem samples were characterized with transmission electron microscopy and electron backscatter diffraction. The Hugoniot equation of state and spall strength at different impact strengths were determined. There exists a power-law relation between spall strength and strain rate. The spall strength of Al0.1CoCrFeNi HEA is about 50% higher than those of previously studied HEAs and comparable to those widely applied structural stainless steels at the same shock stress. Dislocation glide and stacking faults are the important deformation mechanisms in the Al0.1CoCrFeNi HEA. Nanotwins are only observed at high shock stress. Damage in the Al0.1CoCrFeNi HEA is ductile in nature. Voids are nucleated preferentially in grain interiors, and the intragranular voids show a strong dependence on grain boundary misorientation and peak stress.",2022,Journal of Material Science and Technology,,,,,,86,https://doi.org/10.1016/j.jmst.2022.02.056,,Southwest Jiaotong University|Peac Institute of Multiscale Sciences|Peac Institute of Multiscale Sciences|Southwest Jiaotong University|Peac Institute of Multiscale Sciences|Southwest Jiaotong University|South China University of Technology|Peac Institute of Multiscale Sciences|Southwest Jiaotong University|Southwest Jiaotong University,,,,,1005-0302,,,,article,,
Bingqing Chen|Longchao Zhuo,,,,FALSE,"Latest progress on refractory high entropy alloys: Composition, fabrication, post processing, performance, simulation and prospect","Breaking through the design concept of conventional high-temperature alloys, refractory high entropy alloys (RHEAs) exhibited increasingly alloy systems and excellent performance, which can be potentially used as turbine blades, nuclear materials, kinetic energy penetrators, catalysts for high-temperature service in space, nuclear reactor programs, electronic industries and military fields. Therefore, as novel promising candidates with great application potential beyond superalloys, RHEAs′ research not only has cutting-edge academic value, but also has immeasurable economic benefits and strategic significance. Due to the explosively exponential growth of RHEAs in the years from 2019 to 2022 and based on the review of these newly published literature, the current development has been categorized into composition space extension, fabrication routes, post processing methods, performances, modeling and simulation section, as well as promising future possibilities.",2022,International Journal of Refractory Metals and Hard Materials,,,,,,86,https://doi.org/10.1016/j.ijrmhm.2022.105993,,Beijing Institute of Aeronautical Materials|Xiâ€™an University|Xi'an University of Technology,,,,,0263-4368,,,,article,,
Liyuan Liu|Yang Zhang|Zhongwu Zhang|Junpeng Li|Weiguo Jiang|Lixin Sun,,,,FALSE,Nanoprecipitate and stacking fault-induced high strength and ductility in a multiscale heterostructured high-entropy alloy,"Two-phase high-entropy alloys (HEAs) have high strength due to the contribution of interface-dependent strengthening, but the deformation incompatibility between the two phases causes instability. The initiation of cracks occurs at the two-phase interfaces, which ultimately leads to low ductility. To overcome this problem, the strategy proposed in this work is to introduce nanoprecipitates as a buffer zone and simultaneously promote stress release caused by the formation of stacking faults (SFs) at the two-phase interfaces, reducing the stress localization at the two-phase interface, thus improving the ductility. The Al16Cr20Fe10Co30Ni24 HEA was chosen as the model material to evaluate this approach. After rolling at 800 °C, the HEA had a two-phase lamellar structure consisting of a face-centered cubic (FCC) phase and an ordered body-centered cubic BCC (B2) phase. Recrystallization occurred within the FCC phase, and precipitates were present in both the FCC and B2 lamellae. The B2 nanoprecipitates in the FCC phase play the most important role, contributing to the improvement of yield strength and buffering the direct contact between gliding dislocations and the two-phase interface. In addition, the B2 nanoprecipitates also promote the widespread formation of SFs at the two-phase interfaces, leading to stress release. More importantly, nanoprecipitates are nucleation sites for SFs. The formation of an SF network improves the strain-hardening ability. The HEA shows a yield strength of 1,120 MPa and an ultimate tensile strength of 1,540 MPa while still exhibiting an elongation to fracture of ∼25 %.",2023,International Journal of Plasticity,,,,,,86,https://doi.org/10.1016/j.ijplas.2023.103853,,Harbin Engineering University|Harbin Engineering University|Harbin Engineering University|Harbin Engineering University|Harbin Engineering University|Harbin Engineering University,,,,,0749-6419,,,,article,,
Bowen Xu|Huichao Duan|Xuefei Chen|Jing Wang|Yan Ma|Ping Jiang|Fuping Yuan|Yandong Wang|Yang Ren|Kui Du|Yueguang Wei|Xiaolei Wu,,,,FALSE,Harnessing instability for work hardening in multi-principal element alloys,"Abstract The strengthâ€“ductility trade-off has long been a Gordian knot in conventional metallic structural materials and it is no exception in multi-principal element alloys. In particular, at ultrahigh yield strengths, plastic instability, that is, necking, happens prematurely, because of which ductility almost entirely disappears. This is due to the growing difficulty in the production and accumulation of dislocations from the very beginning of tensile deformation that renders the conventional dislocation hardening insufficient. Here we propose that premature necking can be harnessed for work hardening in a VCoNi multi-principal element alloy. LÃ¼ders banding as an initial tensile response induces the ongoing localized necking at the band front to produce both triaxial stress and strain gradient, which enables the rapid multiplication of dislocations. This leads to forest dislocation hardening, plus extra work hardening due to the interaction of dislocations with the local-chemical-order regions. The dual work hardening combines to restrain and stabilize the premature necking in reverse as well as to facilitate uniform deformation. Consequently, a superior strength-and-ductility synergy is achieved with a ductility of ~20% and yield strength of 2 GPa during room-temperature and cryogenic deformation. These findings offer an instability-control paradigm for synergistic work hardening to conquer the strengthâ€“ductility paradox at ultrahigh yield strengths.",2024,Nature Materials,,,,,,86,https://doi.org/10.1038/s41563-024-01871-7,,University of Chinese Academy of Sciences|Institute of Mechanics|Chinese Academy of Sciences|Chinese Academy of Sciences|Chinese Academy of Sciences|Institute of Mechanics|University of Chinese Academy of Sciences|Chinese Academy of Sciences|Institute of Mechanics|Institute of Mechanics|Chinese Academy of Sciences|Institute of Mechanics|Chinese Academy of Sciences|Chinese Academy of Sciences|University of Chinese Academy of Sciences|Institute of Mechanics|University of Science and Technology Beijing|City University of Hong Kong|Chinese Academy of Sciences|Peking University|University of Chinese Academy of Sciences,,,,,1476-1122,,,,article,,
J. M. Torralba|MÃ³nica Campos,,,,FALSE,High Entropy Alloys Manufactured by Additive Manufacturing,"High entropy alloys have attracted much interest over the last 16 years due to their promising an unusual properties in different fields that offer many new possible application. Additionally, additive manufacturing has drawn attention due to its versatility and flexibility ahead of a new material challenge, being a suitable technology for the development of metallic materials. Moreover, high entropy alloys have demonstrated that many gaps exist in the literature on its physical metallurgy, and in this sense, additive manufacturing could be a feasible technology for solving many of these challenges. In this review paper the newest literature on this topic is condensed into three different aspects: the different additive manufacturing technologies employed to process high entropy alloys, the influence of the processing conditions and composition on the expected structure and microstructure and information about the mechanical and corrosion behavior of these alloys.",2020,Metals,,,,,,84,https://doi.org/10.3390/met10050639,,IMDEA Materials|Universidad Carlos III de Madrid|Universidad Carlos III de Madrid,,,,,2075-4701,,,,article,,
Kai Suzuki|Motomichi Koyama|Shigeru Hamada|Kaneaki Tsuzaki|Hiroshi Noguchi,,,,FALSE,Planar slip-driven fatigue crack initiation and propagation in an equiatomic CrMnFeCoNi high-entropy alloy,"High-cycle fatigue crack initiation and propagation in an equiatomic CrMnFeCoNi high-entropy alloy were investigated using smooth specimens. The microstructural deformation characteristics, i.e., planar dislocation slip, significantly affected the fatigue crack initiation and small fatigue crack propagation. The deformation localization associated with dislocation planarity led to multiple crack initiation on the slip planes. The crack propagation mechanism comprised crack formation on slip planes around the main crack tip and subsequent coalescence. The fatigue crack propagation mechanism shifted to Mode I type as the crack length increased.",2019,International Journal of Fatigue,,,,,,82,https://doi.org/10.1016/j.ijfatigue.2019.105418,,Kyushu University|Tohoku University|Kyushu University|Kyushu University|Kyushu University,,,,,0142-1123,,,,article,,
Sergey Veselkov|Ðž. Ð’. Ð¡Ð°Ð¼Ð¾Ð¹Ð»Ð¾Ð²Ð°|Nataliya Shaburova|Evgeny Trofimov,,,,FALSE,High-Temperature Oxidation of High-Entropic Alloys: A Review,"Over the past few years, interest in high-entropic alloys (HEAs) has been growing. A large body of research has been undertaken to study aspects such as the microstructure features of HEAs of various compositions, the effect of the content of certain elements on the mechanical properties of HEAs, and, of course, special properties such as heat resistance, corrosion resistance, resistance to irradiation with high-energy particles, magnetic properties, etc. However, few works have presented results accumulated over several years, which can complicate the choice of directions for further research. This review article presents the results of studies of the mechanisms of high-temperature oxidation of HEAs of systems: Al-Co-Cr-Fe-Ni, Mn-Co-Cr-Fe-Ni, refractory HEAs. An analysis made it possible to systematize the features of high-temperature oxidation of HEAs and propose new directions for the development of heat-resistant HEAs. The presented information may be useful for assessing the possibility of the practical application of HEAs in the aerospace industry, in nuclear and chemical engineering, and in new areas of energy.",2021,Materials,,,,,,82,https://doi.org/10.3390/ma14102595,,South Ural State University|South Ural State University|South Ural State University|South Ural State University,,,,,1996-1944,,,,review,,
J.G. Lopes|J.P. Oliveira,,,,FALSE,A Short Review on Welding and Joining of High Entropy Alloys,"High entropy alloys are one of the most exciting developments conceived in the materials science field in the last years. These novel advanced engineering alloys exhibit a unique set of properties, which include, among others, good mechanical performance under severe conditions in a wide temperature range and high microstructural stability over long time periods. Owing to the remarkable properties of these alloys, they can become expedite solutions for multiple structural and functional applications. Nevertheless, like any other key engineering alloy, their capacity to be welded, and thus become a permanent feature of a component or structure, is a fundamental issue that needs to be addressed to further expand these alloysâ€™ potential applications. In fact, welding of high entropy alloys has attracted some interest recently. Therefore, it is important to compile the available knowledge on the current state of the art on this topic in order to establish a starting point for the further development of these alloys. In this article, an effort is made to acquire a comprehensive knowledge on the overall progress on welding of different high entropy alloy systems through a systematic review of both fusion-based and solid-state welding techniques. From the current literature review, it can be perceived that welding of high entropy alloys is currently gaining more interest. Several high entropy alloy systems have already been successfully welded. However, most research works focus on the well-known CoCrFeMnNi. For this specific system, both fusion and solid-state welding have been used, with no significant degradation of the jointsâ€™ mechanical properties. Among the different welding techniques already employed, laser welding is predominant, potentially due to the small size of its heat source. Overall, welding of high entropy alloys is still in its infancy, though good perspectives are foreseen for the use of welded joints based on these materials in structural applications.",2020,Metals,,,,,,81,https://doi.org/10.3390/met10020212,,Universidade Nova de Lisboa|Universidade Nova de Lisboa,,,,,2075-4701,,,,review,,
Tomer Ron|Amnon Shirizly|Eli Aghion,,,,FALSE,Additive Manufacturing Technologies of High Entropy Alloys (HEA): Review and Prospects,"Additive manufacturing (AM) technologies have gained considerable attention in recent years as an innovative method to produce high entropy alloy (HEA) components. The unique and excellent mechanical and environmental properties of HEAs can be used in various demanding applications, such as the aerospace and automotive industries. This review paper aims to inspect the status and prospects of research and development related to the production of HEAs by AM technologies. Several AM processes can be used to fabricate HEA components, mainly powder bed fusion (PBF), direct energy deposition (DED), material extrusion (ME), and binder jetting (BJ). PBF technologies, such as selective laser melting (SLM) and electron beam melting (EBM), have been widely used to produce HEA components with good dimensional accuracy and surface finish. DED techniques, such as blown powder deposition (BPD) and wire arc AM (WAAM), that have high deposition rates can be used to produce large, custom-made parts with relatively reduced surface finish quality. BJ and ME techniques can be used to produce green bodies that require subsequent sintering to obtain adequate density. The use of AM to produce HEA components provides the ability to make complex shapes and create composite materials with reinforced particles. However, the microstructure and mechanical properties of AM-produced HEAs can be significantly affected by the processing parameters and post-processing heat treatment, but overall, AM technology appears to be a promising approach for producing advanced HEA components with unique properties. This paper reviews the various technologies and associated aspects of AM for HEAs. The concluding remarks highlight the critical effect of the printing parameters in relation to the complex synthesis mechanism of HEA elements that is required to obtain adequate properties. In addition, the importance of using feedstock material in the form of mix elemental powder or wires rather than pre-alloyed substance is also emphasized in order that HEA components can be produced by AM processes at an affordable cost.",2023,Materials,,,,,,81,https://doi.org/10.3390/ma16062454,,Ben-Gurion University of the Negev|Ben-Gurion University of the Negev|Ben-Gurion University of the Negev,,,,,1996-1944,,,,review,,
J.B. Hu|Kun Yang|Qingyuan Wang|Qian Zhao|Yue Hui Jiang|Yong Jie Liu,,,,FALSE,Ultra-long life fatigue behavior of a high-entropy alloy,"Widespread interest has been generated by the high-entropy alloys (HEAs) due to their exceptional ability to combine high plasticity and high strength. However, there is still no comprehensive explanation for their fatigue behavior and crack initiation mechanism in the very high cycle fatigue region up to 109 cycles to the author’s best knowledge. This work studied the gigacycle fatigue behavior of a single-phase CoCrFeMnNi HEA. It is found that fatigue failure is caused by casting defects and crystallographic facet. For the case of crystallographic facet just originating from matrix, the fatigue micro-cracks tend to initiate near a triple junction grain boundary. The activation of the {1 1 0} slip planes may also lead to the fatigue crack initiation, not only preferential {1 1 1} slip planes for this alloy.",2023,International Journal of Fatigue,,,,,,81,https://doi.org/10.1016/j.ijfatigue.2023.108013,,Chengdu University|Chengdu University|Sichuan University|Chengdu University|Sichuan University|Chengdu University|Chengdu University|Sichuan University,,,,,0142-1123,,,,article,,
Jia Yan Law|V. Franco,,,,FALSE,Review on magnetocaloric high-entropy alloys: Design and analysis methods,"Abstract The search for high-performance functional alloys with improved service life and reliability entails the optimization of their mechanical properties. Recently, the high-entropy alloy (HEA) design concept has found new alloys with excellent mechanical properties. It utilizes multiprincipal elements to yield high configurational entropy of mixing, entailing a large compositional freedom with wide window of opportunities for property exploration. Their functional properties are usually modest when compared to conventional materials. The discovery of HEAs with optimal combination of mechanical and functional properties would be a leap forward in the reliability of functional devices. This review article focuses on magnetocaloric HEAs, the design approaches, and the appropriate analysis methods for their performance. We will highlight the efficient strategic search within the vast HEA space, which has been instrumental for significantly enhancing MCE performance, closing the pre-existing gap between magnetocaloric HEAs and high-performance conventional magnetocaloric materials. Outlook for future directions will also be included. Graphical abstract",2022,Journal of materials research/Pratt's guide to venture capital sources,,,,,,79,https://doi.org/10.1557/s43578-022-00712-0,,Universidad de Sevilla|Universidad de Sevilla,,,,,0884-1616,,,,article,,
Dongyue Li|Peter K. Liaw|Lu Xie|Yong Zhang|Wenrui Wang,,,,FALSE,Advanced high-entropy alloys breaking the property limits of current materials,"The growing need for stronger and more ductile structural materials has spurred an intense search for innovative, high-performance alloys. Traditionally, alloys face a pervasive trade-off: high strength often comes at the expense of ductility and vice versa. The advent of high-entropy alloys (HEAs) offering both high strength and ductility has transformed this landscape. In this work, we discuss the deformation mechanisms of HEAs, examine the foundations of the strength-ductility trade-off, and explore approaches for designing HEAs to surmount this limitation. Furthermore, we analyze the factors that govern HEA-deformation performance, which in turn influence the HEA design. We also propose a perspective on future research directions concerning the mechanical behavior of HEAs, highlighting potential breakthroughs and novel strategies to advance the field.",2024,Journal of Material Science and Technology,,,,,,77,https://doi.org/10.1016/j.jmst.2023.12.006,,University of Science and Technology Beijing|University of Tennessee at Knoxville|University of Science and Technology Beijing|University of Science and Technology Beijing|University of Science and Technology Beijing,,,,,1005-0302,,,,article,,
Nikolai Kashaev|Volker Ventzke|N. P. Petrov|Îœ. Horstmann|Sergey Zherebtsov|D.G. Shaysultanov|Ð’. Ð. Ð¡Ð°Ð½Ð¸Ð½|Nikita Stepanov,,,,FALSE,Fatigue behaviour of a laser beam welded CoCrFeNiMn-type high entropy alloy,"Laser beam welding was used to produce butt joints from the CoCrFeNiMn-type high entropy alloy. The alloy in the initial condition had an fcc single-phase coarse-grained structure. Laser welding resulted in the M7C3-type carbides precipitation in the fcc matrix. The carbide particles precipitation resulted in a considerable increase in microhardness from 150 HV 0.5 for the as-sintered condition to 205 HV 0.5 in the fusion zone. Laser beam welding had a negligible effect on both static mechanical properties and fatigue behaviour of the alloy. The endurance limit of either type of specimens (i.e. with and without welding seam) was 200 MPa. Fracture of all specimens with the laser beam welded seams occurred in the base material area during both tensile and fatigue testing. Weak effect of welding on static/fatigue behaviour of the alloy can be attributed to the higher hardness of the fusion zone, resulting in strain localization in the base material area. An increase in load resulted in activation of secondary slip systems and formation of deformation twins in fatigue specimens.",2019,Materials Science and Engineering A,,,,,,76,https://doi.org/10.1016/j.msea.2019.138358,,Helmholtz-Zentrum Hereon|Helmholtz-Zentrum Hereon|Helmholtz-Zentrum Hereon|Helmholtz-Zentrum Hereon|Belgorod National Research University|Belgorod National Research University|Institute of Structural Macrokinetics and Materials Science|Belgorod National Research University,,,,,0921-5093,,,,article,,
Ke An|Yan Chen|A. D. Stoica,,,,FALSE,VULCAN: A â€œhammerâ€ for high-temperature materials research,"Understanding changes in chemistry, microstructure, and physical properties during synthesis, processing, testing, and even service is vital for materials design and performance. Compared to traditional postmortem material characterization tools, in situ crystallographic characterization can provide considerable data and information on evolution of chemistry, dislocations, twinning, texture, and strains when a material is under external stimuli. Neutrons especially are able to probe material bulk properties and behaviors in extreme environments, thanks to their deep penetrating power and unique sensitivity to differentiate elements from lightweight to transition-metal atoms. In this article, we introduce and describe a diffractometer named VULCAN, which is located at Oak Ridge National Laboratory. This represents a powerful tool to understand materials properties and behaviors under complex environments, in particular, at high temperatures.",2019,MRS Bulletin,,,,,,75,https://doi.org/10.1557/mrs.2019.256,,Oak Ridge National Laboratory|Oak Ridge National Laboratory|Oak Ridge National Laboratory,,,,,0883-7694,,,,article,,
