,DOI,Title,Abstract,AI_Methods,Abstract,Abstract
79,10.3390/met15091012,"AI Design for High Entropy Alloys: Progress, Challenges and Future Prospects","High-entropy alloys have demonstrated significant application potential in many industrial fields due to their outstanding comprehensive properties. However, the complex multi-component compositions pose challenges for traditional design approaches. In recent years, artificial intelligence (AI) technology, with its powerful capabilities in data analysis, prediction, and optimization, has provided new pathways for rapid discovery and performance modulation of high-entropy alloys. This paper systematically reviews the latest advancements in AI applications for high-entropy alloy design, covering key technologies such as machine learning models (e.g., active learning, generative models, transfer learning), high-throughput computing and experimental data processing, phase structure and property prediction. It also presents typical application cases, including compositional optimization, phase structure prediction, performance synergistic regulation, and novel material discovery. Although AI has significantly improved design efficiency and accuracy, challenges remain, such as the scarcity of high-quality data, insufficient model interpretability, and interdisciplinary integration. Future efforts should focus on building a more robust data ecosystem, enhancing model transparency, and strengthening closed-loop validation between AI and experimental science to advance intelligent design and engineering applications of high-entropy alloys. © 2025 by the authors.",,,
80,10.3390/e27090912,Material Removal Rate Enhancement Induced by Electrochemical Discharge Machining for Refractory High-Entropy Alloys Compared with EDM,"Refractory high-entropy alloys (RHEAs) are categorized as difficult-to-machine materials due to their excellent mechanical properties. Electrical discharge machining (EDM) is a special processing method for RHEAs, which faces challenges such as low machining efficiency. In this work, electrochemical discharge machining (ECDM) was proposed for (TiVZrTaW)<inf>99.5</inf>N<inf>0.5</inf> and (TiVZrTa)W<inf>5</inf> (at. %, denoted as W20N0.5 and W5, respectively) RHEAs, and their machining performances were investigated and compared with EDM. At a peak current of 25 A, the material removal rate (MRR) using ECDM is more than twice that of EDM for W20N0.5 (reaching to 1.24 mm3/min) and 1.5 times higher than that for W5. Both W20N0.5 and W5 RHEAs exhibited higher MRR in ECDM based on the analyses of the influence of top diameter, bottom diameter, machining depth, and surface roughness (Ra). The process and mechanisms of material removal were examined through the microstructural morphology and elemental distribution analyses. This work proposed a more effective route for machining RHEAs by ECDM compared to the conventional EDM. © 2025 by the authors.",,,
81,10.1016/j.mtla.2025.102519,Effect of alloying on intrinsic ductility in WTaCrV high entropy alloys,"Tungsten (W) exhibits desirable properties for extreme applications, such as the divertor in magnetic fusion reactors, but its practicality remains limited due to poor formability and insufficient irradiation resistance. In this work, we study the intrinsic ductility of body-centered cubic WTaCrV based high entropy alloys (HEAs), which are known to exhibit excellent irradiation resistance. The ductility evaluations are carried out using a criterion based on the competition between the critical stress intensity factors for emission (K<inf>Ie</inf>) and cleavage (K<inf>Ic</inf>) in the {110} slip planes and {110} crack planes, which are evaluated within the linear elastic fracture mechanics framework and computed using density functional theory. The results suggest that increasing the alloying concentrations of V and reducing the concentrations of W can significantly improve the ductility in these HEAs. The elastic anisotropy for these HEAs is analyzed using the Zener anisotropy ratio and its correlation with the concentration of W in the alloys is studied. Results indicate that these alloys tend to be fairly isotropic independently from the concentration of W in them. The computed data for the elastic constants of these HEAs is also compared against available experimental data. The results are in good agreement, validating the robustness and accuracy of the computational methods. Multiple phenomenological ductility metrics were also computed and analyzed against the analytical model. Some metrics, mainly the surrogate D parameter, show a good correlation with the Rice model. The potential of these empirical metrics to serve as surrogate screening models for optimizing the compositional space is also discussed. © 2025 The Authors",,,
82,10.1016/j.mtla.2025.102531,Efficient compositional exploration for sluggish interstitial diffusion in FeNiCrCoCu high-entropy alloys using machine learning-kinetic Monte Carlo and Bayesian optimization,"The study of sluggish diffusion in high-entropy alloys (HEAs) remains underexplored largely due to their extensive compositional space. In particular, self-interstitial diffusion exhibits a non-monotonic compositional dependence, necessitating an efficient search to identify optimum compositions. This work presents three kinetic Monte Carlo (KMC)-based methods to simulate complex 〈100〉 interstitial dumbbell diffusion of 15 dumbbell types with 125 distinct migration paths in a model FeNiCrCoCu HEA system over a large compositional space: conventional KMC (C-KMC), random-sampling KMC (RS-KMC), and machine learning KMC (ML-KMC). Our results demonstrate that ML-KMC, with its ability of efficiently predicting dumbbell formation energies on the fly, can effectively capture key diffusion patterns, as validated by independent molecular dynamics (MD) simulations. This ML-KMC method provides a promising high-throughput approach (about 3500 times faster than MD) for studying the complex dumbbell diffusion in HEAs. The controversial percolation effect by faster diffusing elements (Cr+Cu) is also analyzed, suggesting no universal percolation threshold in HEAs. To efficiently explore the compositional space and pinpoint HEA compositions with slower interstitial diffusivities, ML-KMC is integrated within a Bayesian optimization (BO) framework. This approach successfully identifies HEA compositions with diffusivities over an order of magnitude slower than the equiatomic HEA at 800 K within only a few ten iterations, circumventing the inefficiency of conventional brute-force compositional enumeration. The identified optimal composition (Fe<inf>35</inf>Ni<inf>14</inf>Cr<inf>6</inf>Co<inf>35</inf>Cu<inf>10</inf>) is further verified by independent MD simulations, confirming the effectiveness of the ML-KMC-BO methodology. This work can advance the understanding of compositional-dependent diffusion mechanisms and provide valuable insights for HEA design. © 2025",,,
83,10.1016/j.commatsci.2025.114186,Temperature-dependent discovery of BCC refractory multi-principal element alloys: Integrating deep learning and CALPHAD calculations,"Single-phase body-centered cubic (BCC) refractory multi-principal element alloys (RMPEAs) offer potential for developing alloys with exceptional strength. However, the compositional design space is immense. Exhaustively mapping this space with conventional CALculation of PHAse Diagrams (CALPHAD) is impractical because database coverage and run times scale poorly with millions of candidate chemistries. To address this, we train a deep-learning surrogate on CALPHAD outputs that preserves the thermodynamic fidelity while accelerating temperature-dependent phase-fraction predictions of RMPEA phases. The model achieves high accuracy in predicting phase fractions for up to eight distinct phases across different temperatures and offers a speedup of two orders of magnitude compared to CALPHAD. Using this model, we screen the Ti, Fe, Al, V, Ni, Nb and Zr elemental space for potentially stable single-phase BCC alloys at different annealing temperatures and extract design insights to guide the synthesis of new BCC RMPEAs in experiments. Finally, we develop an analytical model that enables rapid, interpretable identification of single-phase BCC RMPEAs. © 2025 Elsevier B.V.",,,
84,10.1002/adem.202500879,Data-Driven Discovery of New Eutectic High-Entropy Alloys via Calculation of Phase Diagrams and Machine Learning Integration,"Eutectic high-entropy alloys (EHEAs) exhibit unique microstructures and excellent mechanical properties, but their composition discovery has largely relied on trial-and-error methods. Although the Calculation of Phase Diagrams (CALPHAD) method can predict eutectic points accurately, it is computationally intensive for large-scale screening. Meanwhile, machine learning (ML) offers rapid predictions but is limited by the scarcity of high-quality data for EHEAs. To overcome these challenges, a strategy that integrates CALPHAD and ML to efficiently identify eutectic compositions is developed. CALPHAD is used to compute phase equilibria and build a comprehensive dataset combining calculated and experimental data. This dataset trained an ML model capable of rapidly screening candidate compositions. The approach is validated by predicting and fabricating three new eutectic alloys in the Al–Co–Fe–Ni system and one in the Al–Co–Cr–Fe–Ni system. All four are produced via additive manufacturing, and their microstructures match the predicted eutectic structures. Additionally, minor compositional changes result in notable microstructural differences, highlighting the sensitivity of eutectic formation to composition. The results demonstrate the accuracy and efficiency of this CALPHAD-ML hybrid approach, offering a powerful alternative to conventional methods for accelerating EHEA discovery. © 2025 Wiley-VCH GmbH.",,,
85,10.1016/j.mtcomm.2025.113366,Theoretical hydrogen storage properties of high entropy alloys: A combined DFT and machine learning approach,"High entropy alloys (HEAs) have gained attention for solid-state hydrogen storage due to their unique properties, including lattice distortion and the cocktail effect. This study applied machine learning techniques in conjunction with density functional theory (DFT) study to analyse and predict the hydrogen storage properties of HEAs from a dataset comprising 304 entries (2006 – 2024). DFT methods through Dmol3 module was used to mainly compare and highlight any hydrogenation differences between traditional alloys and I entropy alloys, which included AB, AB<inf>2</inf> and AB<inf>5</inf> classes of alloys. In these arrangements, the A site is usually occupied by elements that easily donate electrons and form hydride-stabilizing sites while the B site elements bond with A elements to form stable intermetallic structures and often contribute to hydrogen dissociation and electronic conductivity. DFT study revealed that while the base alloys exhibit metallic characteristics conducive to hydrogen uptake, hydrogen absorption in base alloys leads to reduced density of states at the Fermi level, indicative of electron localization and the formation of pseudogaps or narrow band gaps. On the other hand, high entropy alloys exhibit more prominent electronic changes and stronger hydrogen binding, as evidenced by larger band gaps and more negative hydrogenation enthalpies, despite almost similar unit cell volumes compared to their traditional counterparts. This indicates that hydrogen storage behaviour is governed not just by lattice size or structure type, but also by the local bonding environment and electronic configuration induced by multi-elemental interactions. Interestingly, AB alloys transform from cubic structure to orthorhombic structure upon hydrogenation, suggesting that the hydrogen-induced strain is not uniform along all crystallographic axes, resulting in lattice distortion that breaks cubic symmetry. The hexagonal structures of both AB<inf>2</inf> and AB<inf>5</inf> alloys remain intact after hydrogen uptake, indicating better hydrogen storage capabilities than AB alloys. For machine learning analysis, three models linear regression, decision tree, and random forest were developed to predict hydrogen storage capacity (H/M ratio), Gibbs free energy of hydrogen absorption (∆G<inf>H</inf>) at 300°C, and the equilibrium temperature (T<inf>H</inf>). Among these, the random forest model demonstrated superior accuracy, with R² values of 0.927, 0.908, and 0.950 for H/M ratio, ∆G<inf>H</inf>, and T<inf>H</inf>, respectively. Validation with experimental data confirmed the model's reliability. Feature importance analysis using SHAP local explanation summary tool revealed that the valence electron concentration (VEC) is a key factor influencing hydrogen storage properties. This study highlights the potential of combining DFT study and machine learning models, particularly the random forest approach, in efficiently predicting and optimizing the hydrogen storage properties of HEAs. It uniquely combines DFT and machine learning to predict 3 key parameters; i.e. H/M ratio, equilibrium temperature and Gibbs free energy of hydrogen absorption. These findings provide a valuable tool for guiding the design and selection of novel HEA-based materials for hydrogen storage applications. © 2025 The Authors",,,
86,10.1016/j.jalmes.2025.100199,Machine learning-driven design of low-density Ta-Nb-W-V-Zr-Ti-Mo refractory high-entropy alloys for high-temperature applications,"High-entropy alloys (HEAs) are gaining significant attention due to their unique microstructures and outstanding properties. However, traditional design approaches are time-intensive and labor-intensive process, making machine learning (ML) a promising tool for accelerating discovery. In this work, we explored the prediction of density for lightweight refractory high-entropy alloys (LRHEAs), incorporating alloying elements and liquidous and solidus temperature into the analysis. To evaluate the machine learning models, we used numerous performance matrices, together with the coefficient of determination (R2), mean absolute error (MAE), and root mean square error (RMSE). After selecting the optimal model, we successfully predicted the density of new alloys. The XGB model proved to be the most effective, yielding impressive performance metrics (R2 = 0.995, MAE = 0.6 %, RMSE = 0.6 %). © 2025 The Authors",,,
87,10.1016/j.mattod.2025.06.033,Closed-loop inverse design of high entropy alloys using symbolic regression-oriented optimization,"Rapidly finding new materials that are distinct to those in existing datasets continues to be a challenge for machine learning-driven approaches. Here, we propose a closed-loop framework to accelerate the inverse design of target materials, with emphasis on the use of symbolic regression-guided optimization. The refractory high entropy alloys are used as a model system to demonstrate the efficacy of the proposed approach. Symbolic regression learns a simple formula between a basic physical descriptor (enthalpy of fusion) and target property (yield strength at 1000 °C), which allows us to devise a new alloy system (V-Ti-Mo-Nb-Zr). The property optimization is enabled by combining heuristic algorithms and an uncertainty-aware utility function to recommend candidates for experiment. With only four iterations, we fabricate 21 alloys, of which 12 exhibit improved specific yield strength and two surpass 110 MPa/(g/cm3). The gradual rise in density coupled with the quick increase in lattice distortion underpin the enhanced yield strength. This study highlights the effectiveness of symbolic regression-oriented optimization in identifying target materials from complex systems. © 2025 Elsevier Ltd",,,
88,10.1016/j.actamat.2025.121276,"Segregation, ordering, and precipitation in WTaV-based concentrated refractory alloys","Tungsten-based low-activation high-entropy alloys are possible candidates for next-generation fusion reactors due to their exceptional tolerance to irradiation, thermal loads, and stress. We develop an accurate and efficient machine-learned interatomic potential for the W–Ta–Cr–V system and use it in hybrid Monte Carlo molecular dynamics simulations of ordering and segregation to all common types of defects in WTaCrV. The predictions are compared to atom probe tomography analysis of segregation and precipitation in WTaCrV thin films. By also considering two other alloys, WTaV and MoNbTaVW, we are able to draw general conclusions about preferred segregation in refractory alloys and the reasons behind it, guiding future alloy design and elucidating experimental observations. We show that the experimentally observed CrV precipitates in WTaCrV form semicoherent bcc-to-bcc interfaces with the surrounding matrix, as coherent precipitates are not thermodynamically stable due to excessive lattice mismatch. The predictions from simulations align well with our atom probe tomography analysis as well as previous experimental observations. © 2025 The Authors",,,
89,10.1007/s40195-025-01894-2,Machine Learning-Based High Entropy Alloys-Algorithms and Workflow: A Review,"High-entropy alloys (HEAs) have attracted considerable attention because of their excellent properties and broad compositional design space. However, traditional trial-and-error methods for screening HEAs are costly and inefficient, thereby limiting the development of new materials. Although density functional theory (DFT), molecular dynamics (MD), and thermodynamic modeling have improved the design efficiency, their indirect connection to properties has led to limitations in calculation and prediction. With the awarding of the Nobel Prize in Physics and Chemistry to artificial intelligence (AI) related researchers, there has been a renewed enthusiasm for the application of machine learning (ML) in the field of alloy materials. In this study, common and advanced ML models and strategies in HEA design were introduced, and the mechanism by which ML can play a role in composition optimization and performance prediction was investigated through case studies. The general workflow of ML application in material design was also introduced from the programmer’s point of view, including data preprocessing, feature engineering, model training, evaluation, optimization, and interpretability. Furthermore, data scarcity, multi-model coupling, and other challenges and opportunities at the current stage were analyzed, and an outlook on future research directions was provided. © The Chinese Society for Metals (CSM) and Springer-Verlag GmbH Germany, part of Springer Nature 2025.",,,
90,10.1016/j.msea.2025.148527,Co-optimization of yield strength and compressive plasticity of high-entropy alloys by combining phase classification and particle swarm algorithm,"Although high-entropy alloys (HEAs) have superior comprehensive performance, it is still challenging to design HEAs with good combinations of strength and plasticity because of the huge combination space and complex elemental properties. In this work, a machine learning (ML) model was proposed to better predict HEAs with good combinations of yield strength and compressive plasticity simultaneously. Phase classification, plasticity classification and strength regression models were established respectively. A ML model was then constructed by fusing these models together using particle swarm optimization algorithm. Examples of quaternary Ti<inf>35</inf>V<inf>35</inf>Zr<inf>5</inf>W<inf>25</inf>, quinary Mo<inf>13</inf>Ti<inf>28</inf>W<inf>12</inf>Nb<inf>23</inf>Zr<inf>24</inf>, and six-principal element Mo<inf>6</inf>Ti<inf>34</inf>V<inf>35</inf>W<inf>15</inf>Ta<inf>5</inf>Zr<inf>5</inf> refractory high-entropy alloys (RHEAs) were developed and examined to validate the prediction effectiveness of the ML model. These RHEAs demonstrate yield strength and fracture strain of 1415 MPa, 1476 MPa, 1265 MPa and 23.8 %, 30.6 %, and 26.7 % respectively. Finally, the important features of the ML model were interpreted using SHAP, and the crystal structures of predicted RHEAs were determined mainly by the combination of atomic and electronic parameters, where VEC played an important role. © 2025 Elsevier B.V.",,,
91,10.1016/j.intermet.2025.108838,Beyond elemental intrinsic characteristics: ΔHmixB−F-driven solid solution phase structure modeling in HEAs,"This study introduces an innovative approach for predicting solid-solution phase structures in high-entropy alloys (HEAs) by integrating a thermodynamic mixing enthalpy difference parameter ΔH<inf>mix</inf>B−F—quantifying inter-element interactions between BCC and FCC structures—with conventional descriptors representing elemental intrinsic properties, including valence electron concentration (VEC), atomic size mismatch (δ), and Gibbs free energy differences of pure elements in dual-phase configurations (ΔG<inf>0</inf>). This synergistic framework significantly enhances the predictive accuracy for solid solution phase structures in HEAs, achieving a classification consistency rate (CCR) of 94.9 % across 569 HEA systems through the combined VEC+ ΔH<inf>mix</inf>B−F parameter. To validate the methodology, a series of unreported transition-metal-rich AlCoCrNiV-based HEAs were synthesized and systematically characterized via X-ray diffraction (XRD), field-emission scanning electron microscopy (FESEM) coupled with energy-dispersive spectroscopy (EDS), and transmission electron microscopy (TEM) with microchemical analysis. The experimental observations exhibit excellent agreement between the predicted phase constitutions and the observed structural features, demonstrating the reliability and practical applicability of the proposed strategy. This work establishes a robust foundation for rational HEA design and provides critical guidance for advancing predictive frameworks in multi-component alloy systems through the integration of thermodynamic principles and empirical descriptors. © 2025 Elsevier Ltd",,,
92,10.1016/j.corsci.2025.113048,Design and evaluation method of erosion-resistant and wear-resistant CoCrFeMnNi high-entropy alloy coating based on molecular dynamics simulation and machine learning,"The CoCrFeMnNi high-entropy alloy is widely regarded as one of the most promising materials for wear resistance, particularly in mitigating erosion failure in critical components of oil and gas equipment. However, its performance is significantly influenced by factors such as elemental composition and proportion. Therefore, determining the optimal parameters for preparing erosion-resistant alloys has become a significant challenge. In this study, for the first time, we establish an erosion resistance design evaluation system that integrates molecular dynamics and machine learning. This system incorporates parameters such as pressure, friction coefficient, and the number of wear atoms, and a high-performance machine learning model is trained to predict the optimal erosion-resistant coating and verify. Furthermore, to enhance the applicability of the design evaluation method, the trained machine learning model can be directly employed to guide the alloy component design under different crystal orientations and structures post-verification. The results of this study offer significant theoretical insights for the development of the optimal erosion-resistant CoCrFeMnNi high-entropy alloy for oil and gas equipment, while also substantially reducing both experimental and temporal costs. © 2025 Elsevier Ltd",,,
93,10.1016/j.surfcoat.2025.132238,Machine learning-driven design of BCC phase FeCrVTiMoxSiy high-entropy alloy coatings with high hardness to enhance wear resistance,"High-entropy alloys (HEAs) have been widely considered as promising materials to protect the Ferritic/Martensitic (F/M) steels against the extreme environments in the lead-cooled fast reactors (LFR). Due to the wide diversity of elemental compositions and ratios, the rational design of HEAs with high wear resistance remains a huge challenge. In this work, we employed machine learning (ML) methods to guide the design of HEAs with high wear resistance as the protective coating for the F/M steels. The ML-based models were constructed to predict the phase structure and hardness of HEAs. The constructed SVM and XGBoost models exhibited the best performance in predicting the phase classification and the Vickers hardness of HEAs, respectively. Valence electron concentration (VEC) and ΔH<inf>mix</inf> are identified as the most important factors affecting both the phase structures and Vickers hardness of HEAs. With these models, the FeCrVTiMo<inf>x</inf>Si<inf>y</inf> HEAs were predicted to exhibit a BCC phase and increasing hardness with the decreased ratio of Mo and Si elements. The following experimental results showed that FeCrVTiMo<inf>0.5</inf>Si<inf>1.5</inf> exhibited optimal wear resistance with Vickers hardness, Young's modulus, H/E, H3/E2, and wear rate of 732.65 HV, 289.6 GPa, 0.0353, 0.0127 GPa, and 8.65 × 10−7 mm3/(N·m), respectively. Density functional theory (DFT) calculations revealed that decreasing the ratios of Mo and Si elements in FeCrVTiMo<inf>x</inf>Si<inf>y</inf> HEAs increases lattice distortion and increases the proportion of covalent bonds to enhance solid-solution strengthening, improving wear resistance. This work presents a paradigm shift in quantifying the relationship between elemental compositions and the properties of HEAs. © 2025",,,
94,10.1021/acs.jpclett.5c01616,Accelerated Discovery of Refractory High-Entropy Alloys via Interpretable Machine Learning,"Due to the outstanding thermal stability, inherent high melting points, and elevated temperature strengths, refractory high-entropy alloys (RHEAs) have been widely used for extreme environments in aerospace, nuclear energy, and advanced propulsion systems. Herein, we present an integrated design and simulation framework for RHEAs, combining machine learning potentials, supervised regression models, and multiobjective optimization algorithms. Utilizing a universal neuroevolution potential version 1 (UNEP-v1), the framework significantly enhances the accuracy of atomic-scale simulation while substantially reducing computational cost. High-throughput molecular dynamics simulations generate melting points and ultimate tensile strengths at 1000 K for various alloy compositions. Supervised regression models enable a rapid performance prediction. Integrating Shapley Additive exPlanations, Partial Dependence Plots, Accumulated Local Effects, and Individual Conditional Expectation analysis can provide a comprehensive interpretability toolkit. Validation of the proposed method in the TiVCrZrMo alloy system demonstrates its efficacy in designing high-strength, high-temperature resistant alloys. We not only develop a precise and interpretable predictive modeling paradigm but also establish procedural frameworks, promoting the integration of atomic-scale simulations with data-driven approaches for RHEAs in extreme environments. © 2025 American Chemical Society",,,
95,10.1039/d5tc02311d,Cluster expansion augmented transfer learning for property prediction of high-entropy alloys,"We propose a deep learning model that combines transfer learning with a cluster expansion method for accurately predicting the physical properties of high-entropy alloys (HEAs). We utilize a small amount of first-principles data and generate a large amount of quasi-first-principles background data through cluster expansion, and then transfer the physical knowledge therein to the prediction of HEAs through transfer learning, thus overcoming the challenge of insufficient first-principles data. When applied to the FeNiCoCrMn/Pd high-entropy alloy systems, the model shows enhancement in the prediction accuracy of formation energy and average atomic magnetic moment. By transferring the physical information from low-component alloy data to the prediction of multi-component alloys, we improve the predictive capabilities of the model for multi-component alloys, reducing the prediction RMSE from 0.011 to 0.008 eV per atom for formation energy and from 0.133 to 0.090μ<inf>B</inf> per atom for atomic magnetic moment. The transfer learning model maintains high accuracy even at a small dataset limit where only 20% of the multi-component alloy data is retained. Moreover, we interpret the prediction results of the transfer learning model for the physical properties of HEAs using the effective cluster interactions (ECIs) of cluster expansion, demonstrating that the cluster expansion model contains transferable physical knowledge. This validates the reliability of the transfer learning model from a physical perspective. The proposed framework combines the efficient data utilization of transfer learning with the clear physical insights of cluster expansion, augmenting the predictive capability of machine learning on small datasets. © 2025 The Royal Society of Chemistry.",,,
96,10.1039/d5cc03076e,Machine learning driven rational design of AuAgPdHgCu HEA catalysts for the two-electron oxygen reduction reaction,"This study integrated high-throughput DFT calculations and machine learning to screen AuAgPdHgCu high-entropy alloy catalysts, revealing that negative d-band shifts of Hg/Cu optimize ΔG<inf>*OOH</inf> for an enhanced 2e− ORR activity. Structure-activity analysis identified an optimal configuration (0.97 ideal active sites), guiding efficient catalyst design. © 2025 The Royal Society of Chemistry.",,,
97,10.1039/d5mh01064k,Breaking scaling relations in AgAuCuPdPt high-entropy alloy nanoparticles for CO2electroreduction via machine learning,"CO<inf>2</inf>electroreduction is limited by linear scaling relationships that couple the stabilities of key intermediates (*COOH, *CHO) to CO adsorption, placing pure Cu catalysts at a volcano-plot ceiling of activity and selectivity. Here, we harness the compositional variety of nanosized AgAuCuPdPt high-entropy-alloy (HEA) particles to break these constraints. We trained an ultralight linear-regression surrogate (MAE ≈ 0.10 eV) based on density functional theory (DFT) calculations on CO adsorption configurations to screen millions of Monte-Carlo-generated local environments of a variety of HEA formulations in seconds. Sites with predicted CO adsorption energy in the optimal −0.6 to −0.4 eV window were probed explicitly for *COOH and *CHO adsorption. From this screening, we discovered a family of “special” sites—Au centers with coordination number 8 (CN = 8) neighbored by corner Cu atoms of CN = 6—that stabilize bidentate binding of *COOH and *CHO. This lowers the potential-limiting *CO → *CHO step to ∼0 eV, and decisively breaks the scaling relations between CO* and CHO*. Our two-tier machine-learning + DFT workflow identifies active sites on HEAs that outperform the single-metal volcano limit and provides a transferable roadmap for the rational design of next-generation CO<inf>2</inf>RR electrocatalysts via tuning of the active site composition. This journal is © The Royal Society of Chemistry 2025",,,
98,10.1021/acs.langmuir.5c03121,Machine-Learning-Driven Prediction of Formation Energy and Compositional Design for IrRuRhMoW High-Entropy Alloys,"Formation energy is a critical parameter for evaluating the thermodynamic stability of high-entropy alloys (HEAs), offering essential guidance for alloy composition design and performance optimization. In this study, we present an efficient prediction framework that integrates machine learning (ML) with density functional theory (DFT) to investigate the formation energy of IrRuRhMoW HEAs. Using the special quasi-random structure (SQS) method, we constructed face-centered cubic supercell models containing 108 atoms and generated a data set of formation energies across various atomic ratios. A descriptor system comprising 14 features across three categories, compositional, statistical, and thermodynamic, was developed. Four ML methods, ridge regression, random forest, extreme gradient boosting, and artificial neural networks, were systematically evaluated for their predictive performance. Among them, the ridge regression model demonstrated the best performance in terms of prediction accuracy, stability, and generalization. Feature importance analysis revealed that mixing enthalpy, mean square deviation of atomic radius, average relative atomic mass, and the atomic fractions of Ru and Ir elements play dominant roles in predicting formation energy. Through stepwise forward feature selection, we constructed a simplified model with only 7 key features, achieving high prediction precision with a mean absolute error (MAE) of 0.00562 ± 0.00007 eV/atom on the independent test set. Prediction across the full compositional space revealed key trends: increasing the proportions of Mo and W favors lowering the formation energy, while higher proportions of Ru and Rh increase it. These findings offer theoretical insights for optimizing the composition of IrRuRhMoW HEAs and demonstrate the potential of ML approaches for efficiently predicting the thermodynamic stability of alloys. © 2025 American Chemical Society",,,
99,10.1002/adfm.202425487,Machine Learning Assisted Design of High-Entropy Alloy Interphase Layer for Lithium Metal Batteries,"Lithium dendrite growth and the resulting safety concerns hinder the application of lithium metal. Compared with single metal or medium entropy alloys, high-entropy alloys (HEAs) are a promising solution to solve the challenges of lithium metal anodes due to their unique properties. However, designing HEA layer with appropriate elements and proportion has become obstacles. Herein, machine learning (ML), density functional theories (DFT) calculation and data analysis reveal the contribution of Zn in lithiophilicity, Al in hardness and lithiophilicity, Fe, Co, and Ni in providing magnetism. The magnetron sputtering is used to construct the HEA interphase layer, and three parameters (sputtering power, sputtering time, and substrate rotation speed) are optimized via particle swarm optimization (PSO) based on the logarithm of the average coulombic efficiency (CE) of Li||Cu half cells. While the HEA layer with high strength, compactness, and flatness is constructed, Li||Li symmetric cell assembled by HEA@Li at 1 mA cm−2, 1 mAh cm−2 can cycle stably for 2400 h, and discharge capacity retention rate of Li||LFP cell is >90% after 300 cycles at 1 C with average CE of 99.67%. Design of the HEA interphase layer assisted by ML provides a path for the potential application of lithium metal batteries. © 2025 Wiley-VCH GmbH.",,,
100,10.1002/aenm.202500744,Artificial Intelligence-Assisted Ultrafast High-Throughput Screening of High-Entropy Hydrogen Evolution Reaction Catalysts,"The development of high-entropy alloy (HEA) catalysts is hindered by the “combinatorial explosion” challenge inherent to their complex component design. This study presents an artificial intelligence-assisted high-throughput framework that synergizes large language models (LLMs) for literature mining and genetic algorithms (GAs) for iterative optimization to overcome this challenge. Here, LLMs analyzed 14 242 publications to identify 10 critical hydrogen evolution reaction (HER)-active elements (Fe, Co, Ni, Pt, etc.), narrowing the candidate pool to 126 Pt-based HEA combinations. GA-driven experiment optimizes this subset via ultrafast high-throughput material synthesis and screening using ultrafast high-temperature thermal shock technology, achieving convergence in 4 iterations (24 samples) for 60% reduction of the versus conventional GA approaches. The optimal IrCuNiPdPt/C catalyst exhibits the record-low HER overpotentials of 25.5 and 119 mV at 10 and 100 mA cm⁻2, surpassing commercial Pt/C by 49% and 18%, respectively, which demonstrates 300-h stability with negligible decay. This work establishes a paradigm-shifting strategy bridging computational intelligence and autonomous experiment, that slashes the discovery time from millennia to hours, enabling rational design of multi-component catalysts for sustainable energy applications. © 2025 Wiley-VCH GmbH.",,,
101,10.1016/j.jallcom.2025.182300,Phase tuning and prediction of mechanical properties by neural networks for β Ti-Zr-Nb (Sn) medium entropy orthopedic alloys,"The prediction of mechanical properties of biomedical Ti alloys before production is vital and time-saving, especially when using expensive alloying elements. In this work, new Ti-Zr-rich alloys were designed to achieve a low elastic modulus by reducing the valence electron concentration and selecting (β) bcc-phase stability. Adding Sn (as an alpha stabilizer) to the Ti-Zr-Nb base alloys can achieve a lower elastic modulus by shifting the β/(β+α""+ω) phase boundary to lower valence electron concentration values. The specific alloy compositions were assigned with the help of the prediction methodology of artificial neural networks, including extreme learning machines and feedforward backpropagation. The alloys achieved a low elastic modulus of 55 GPa in the Ti<inf>49</inf>-Zr<inf>40</inf>-Nb<inf>9</inf>-Sn<inf>2</inf> (at%) alloy, and the yield strength was 674 MPa. Also, the averaged lattice strain contributed to the high yield strength of the present alloys. The high Zr and Nb in present alloys achieved high corrosion resistance and a low corrosion rate compared to the Ti-6Al-4V commercial alloy. The new alloys showed excellent biocompatibility with osteoblast-like cells after incubation for seven days. The yield strength and elastic modulus prediction were accomplished by two approaches dealing with limited datasets. According to the experimental work, the neural network alloy design methodology achieved high property prediction accuracy. © 2025 Elsevier B.V.",,,
